taxon,lineage,probability,pangoLEARN_version,status,note
_SRR13020990_small.320,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.321,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.322,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.323,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.324,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.325,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.326,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.327,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.328,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.329,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.330,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.331,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.332,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.333,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.334,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.335,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.336,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.337,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.338,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.339,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.340,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.341,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.342,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.343,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.344,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.345,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.346,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.347,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.348,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.349,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.350,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.351,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.352,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.353,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.354,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.355,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.356,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.357,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.358,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.359,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.360,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.361,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.362,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.363,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.364,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.365,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.366,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.367,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.368,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.369,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.370,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.371,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.372,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.373,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.374,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.375,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.376,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.377,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.378,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.379,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.380,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.381,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.382,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.383,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.384,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.385,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.386,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.387,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.388,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.389,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.390,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.391,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.392,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.393,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.394,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.395,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.396,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.397,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.398,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.399,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.400,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.401,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.402,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.403,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.404,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.405,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.406,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.407,None,0,2021-02-21,fail,seq_len:2584
