taxon,lineage,probability,pangoLEARN_version,status,note
_ERR4364007.337,B.1.1.255,1.0,2021-02-21,passed_qc,
_ERR4364007.338,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.339,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.340,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.341,B.1.1.170,1.0,2021-02-21,passed_qc,
_ERR4364007.342,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.343,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.344,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.345,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.346,B.1.1.104,1.0,2021-02-21,passed_qc,
_ERR4364007.347,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.348,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.349,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.350,B.1.1.54,1.0,2021-02-21,passed_qc,
_ERR4364007.351,B.1.1.241,1.0,2021-02-21,passed_qc,
_ERR4364007.352,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.353,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.354,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.355,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.356,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.357,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.358,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.359,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.360,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.361,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.362,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.363,B.1.1.25,1.0,2021-02-21,passed_qc,
_ERR4364007.364,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.365,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.366,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.367,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.368,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.369,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.370,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.371,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.372,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.373,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.374,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.375,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.376,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.377,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.378,B.1.1.89,1.0,2021-02-21,passed_qc,
_ERR4364007.379,B.1.1.32,1.0,2021-02-21,passed_qc,
_ERR4364007.380,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.381,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.382,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.383,B.1.1.253,1.0,2021-02-21,passed_qc,
_ERR4364007.384,B.1.1.29,1.0,2021-02-21,passed_qc,
